"Feature combination of this file:";"POS_S-w-1"
"Beginning of first training text (1John) is:";"r  -  v  -  prep  -  n  -  r  -  v  -  r  -  v  -  t  -  n"
"Beginning of first test text (Ephesians) is:";"n  -  n  -  n  -  n  -  prep  -  n  -  n  -  t  -  a  -  t"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.1;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.1;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.25;0.1;0.15;0.7;0;0;0;0;0;0;0;0;0;0;0.15;0.7
"entropy";0.25;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.25;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.5;0.1;0.15;0.7;0;0;0;0;0;0;0;0;0;0;0.15;0.7
"entropy";0.5;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.5;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.75;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.9;0.1;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
"entropy";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
