Feature combination of this file:;Strong-w-2;;;;;;;;;;;;;;;
Beginning of first training text (1John) is:;g3739 g2258  -  g2258 g575  -  g575 g746  -  g746 g3739  -  g3739 g191  -  g191 g3739  -  g3739 g3708  -  g3708 g3588  -  g3588 g3788  -  g3788 g2257;;;;;;;;;;;;;;;
Beginning of first test text (1Timothy) is:;g3972 g652  -  g652 g5547  -  g5547 g2424  -  g2424 g2596  -  g2596 g2003  -  g2003 g2316  -  g2316 g4990  -  g4990 g2257  -  g2257 g2532  -  g2532 g5547;;;;;;;;;;;;;;;
dist;feat;imp;p1.1;p2.1;p1.2;p2.2;p1.3;p2.3;p1.4;p2.4;p1.5;p2.5;p1.6;p2.6;p1_avg;p2_avg
cosine;0.1;0.1;0.2;0.7;0.2;0.7;0.25;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.208333333;0.7
entropy;0.1;0.1;0.25;0.7;0.25;0.7;0.1;0.75;0.2;0.7;0.2;0.7;0.3;0.6;0.216666667;0.691666667
canberra;0.1;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
cosine;0.25;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
entropy;0.25;0.1;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.241666667;0.7
canberra;0.25;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
cosine;0.5;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
entropy;0.5;0.1;0.2;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.233333333;0.7
canberra;0.5;0.1;0.25;0.7;0.2;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.233333333;0.7
cosine;0.75;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
