"Feature combination of this file:";"POS_S-w-2"
"Beginning of first training text (1John) is:";"r v  -  v prep  -  prep n  -  n r  -  r v  -  v r  -  r v  -  v t  -  t n  -  n p"
"Beginning of first test text (Ephesians) is:";"n n  -  n n  -  n n  -  n prep  -  prep n  -  n n  -  n t  -  t a  -  a t  -  t v"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0.15;0.7;0;0;0;0;0;0;0;0;0;0;0.15;0.7
"entropy";0.1;0.1;0.15;0.7;0;0;0;0;0;0;0;0;0;0;0.15;0.7
"canberra";0.1;0.1;0.15;0.7;0;0;0;0;0;0;0;0;0;0;0.15;0.7
"cosine";0.25;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.25;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.25;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.5;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.5;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.5;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.9;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.1;0.25;0.1;0.7;0;0;0;0;0;0;0;0;0;0;0.1;0.7
"entropy";0.1;0.25;0.15;0.65;0;0;0;0;0;0;0;0;0;0;0.15;0.65
"canberra";0.1;0.25;0.3;0.6;0;0;0;0;0;0;0;0;0;0;0.3;0.6
"cosine";0.25;0.25;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.25;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.25;0.25;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.5;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.5;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.5;0.25;0.25;0.65;0;0;0;0;0;0;0;0;0;0;0.25;0.65
"cosine";0.75;0.25;0.3;0.65;0;0;0;0;0;0;0;0;0;0;0.3;0.65
"entropy";0.75;0.25;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.75;0.25;0.4;0.55;0.35;0.6;0.25;0.7;0;0;0;0;0;0;0.333333333333333;0.616666666666667
"cosine";0.9;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.9;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.9;0.25;0.25;0.6;0;0;0;0;0;0;0;0;0;0;0.25;0.6
"cosine";0.1;0.5;0.2;0.4;0.1;0.55;0;0;0;0;0;0;0;0;0.15;0.475
"entropy";0.1;0.5;0.2;0.45;0.25;0.5;0.2;0.5;0;0;0;0;0;0;0.216666666666667;0.483333333333333
"canberra";0.1;0.5;0.35;0.5;0.35;0.4;0.3;0.45;0.3;0.5;0.35;0.45;0.2;0.55;0.308333333333333;0.475
"cosine";0.25;0.5;0.05;0.65;0;0;0;0;0;0;0;0;0;0;0.05;0.65
"entropy";0.25;0.5;0.15;0.65;0;0;0;0;0;0;0;0;0;0;0.15;0.65
"canberra";0.25;0.5;0.15;0.75;0;0;0;0;0;0;0;0;0;0;0.15;0.75
"cosine";0.5;0.5;0.15;0.7;0;0;0;0;0;0;0;0;0;0;0.15;0.7
"entropy";0.5;0.5;0.35;0.6;0.4;0.55;0.25;0.7;0;0;0;0;0;0;0.333333333333333;0.616666666666667
"canberra";0.5;0.5;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
