"Feature combination of this file:";"Strong-w-1"
"Beginning of first training text (1John) is:";"g3739  -  g2258  -  g575  -  g746  -  g3739  -  g191  -  g3739  -  g3708  -  g3588  -  g3788"
"Beginning of first test text (Ephesians) is:";"g3972  -  g652  -  g5547  -  g2424  -  g2596  -  g2003  -  g2316  -  g4990  -  g2257  -  g2532"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0.2;0.7;0.2;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.15;0.7;0.208333333333333;0.7
"entropy";0.1;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"canberra";0.1;0.1;0.3;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.258333333333333;0.7
"cosine";0.25;0.1;0.25;0.65;0.25;0.7;0.25;0.7;0.25;0.65;0.2;0.7;0.2;0.7;0.233333333333333;0.683333333333333
"entropy";0.25;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.35;0.6;0.25;0.7;0.25;0.7;0.266666666666667;0.683333333333333
"canberra";0.25;0.1;0.3;0.65;0.25;0.7;0.3;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.266666666666667;0.691666666666667
"cosine";0.5;0.1;0.2;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.3;0.6;0.25;0.7;0.225;0.683333333333333
"entropy";0.5;0.1;0.25;0.7;0.25;0.7;0.2;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.233333333333333;0.7
"canberra";0.5;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.15;0.7;0.2;0.7;0.225;0.7
"cosine";0.75;0.1;0.25;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.241666666666667;0.7
"entropy";0.75;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.3;0.65;0.25;0.7;0.25;0.7;0.258333333333333;0.691666666666667
"canberra";0.75;0.1;0.15;0.7;0.15;0.7;0.15;0.7;0.25;0.7;0.2;0.7;0.2;0.7;0.183333333333333;0.7
"cosine";0.9;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"entropy";0.9;0.1;0.25;0.7;0.2;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.233333333333333;0.7
"canberra";0.9;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.241666666666667;0.7
"cosine";0.1;0.25;0.25;0.65;0.2;0.7;0.15;0.7;0.25;0.65;0.15;0.65;0.25;0.65;0.208333333333333;0.666666666666667
"entropy";0.1;0.25;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.2;0.7;0.225;0.7
"canberra";0.1;0.25;0.45;0.5;0.45;0.5;0.15;0.85;0.45;0.5;0.45;0.5;0.4;0.55;0.391666666666667;0.566666666666667
"cosine";0.25;0.25;0.2;0.7;0.2;0.7;0.2;0.65;0.2;0.7;0.2;0.7;0.2;0.7;0.2;0.691666666666667
"entropy";0.25;0.25;0.3;0.65;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.691666666666667
"canberra";0.25;0.25;0.15;0.85;0.2;0.8;0.35;0.65;0.2;0.8;0.45;0.5;0.35;0.65;0.283333333333333;0.708333333333333
"cosine";0.5;0.25;0.2;0.65;0.25;0.7;0.25;0.65;0.15;0.7;0.2;0.7;0.2;0.7;0.208333333333333;0.683333333333333
"entropy";0.5;0.25;0.2;0.7;0.2;0.7;0.25;0.7;0.3;0.7;0.3;0.65;0.3;0.7;0.258333333333333;0.691666666666667
"canberra";0.5;0.25;0.4;0.6;0.25;0.75;0.2;0.8;0.25;0.75;0.3;0.7;0.25;0.75;0.275;0.725
"cosine";0.75;0.25;0.25;0.7;0.25;0.7;0.3;0.65;0.25;0.7;0.3;0.65;0.3;0.65;0.275;0.675
"entropy";0.75;0.25;0.3;0.7;0.25;0.65;0.3;0.6;0.3;0.7;0.3;0.6;0.35;0.6;0.3;0.641666666666667
"canberra";0.75;0.25;0.25;0.75;0.25;0.75;0.25;0.75;0.15;0.85;0.25;0.75;0.25;0.75;0.233333333333333;0.766666666666667
"cosine";0.9;0.25;0.3;0.65;0.25;0.7;0.15;0.7;0.25;0.7;0.25;0.7;0.2;0.65;0.233333333333333;0.683333333333333
"entropy";0.9;0.25;0.3;0.65;0.25;0.7;0.3;0.7;0.25;0.7;0.4;0.55;0.3;0.7;0.3;0.666666666666667
"canberra";0.9;0.25;0.25;0.75;0.25;0.75;0.3;0.7;0.3;0.7;0.2;0.8;0.2;0.8;0.25;0.75
"cosine";0.1;0.5;0.25;0.55;0.2;0.55;0.2;0.55;0.3;0.45;0.25;0.5;0.2;0.55;0.233333333333333;0.525
