"Feature combination of this file:";"POS_L-w-1"
"Beginning of first training text (1John) is:";"r-asn  -  v-ixi-3s  -  prep  -  n-gsf  -  r-asn  -  v-2rai-1p  -  r-asn  -  v-rai-1p  -  t-dpm  -  n-dpm"
"Beginning of first test text (Ephesians) is:";"n-nsm  -  n-nsm  -  n-gsm  -  n-gsm  -  prep  -  n-gsn  -  n-gsm  -  t-dpm  -  a-dpm  -  t-dpm"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.1;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.1;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.25;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.25;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.25;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.5;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.5;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.5;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
