Feature combination of this file:;Strong-w-2;;;;;;;;;;;;;;;
Beginning of first training text (1John) is:;g3739 g2258  -  g2258 g575  -  g575 g746  -  g746 g3739  -  g3739 g191  -  g191 g3739  -  g3739 g3708  -  g3708 g3588  -  g3588 g3788  -  g3788 g2257;;;;;;;;;;;;;;;
Beginning of first test text (Ephesians) is:;g3972 g652  -  g652 g5547  -  g5547 g2424  -  g2424 g1223  -  g1223 g2307  -  g2307 g2316  -  g2316 g3588  -  g3588 g40  -  g40 g3588  -  g3588 g5607;;;;;;;;;;;;;;;
dist;feat;imp;p1.1;p2.1;p1.2;p2.2;p1.3;p2.3;p1.4;p2.4;p1.5;p2.5;p1.6;p2.6;p1_avg;p2_avg
cosine;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.25;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.25;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.25;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.5;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.5;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.5;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.75;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.75;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.75;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.9;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.9;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.9;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.1;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.1;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.1;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.75;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.75;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.75;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.9;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.9;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.9;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.25;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.25;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.25;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.75;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.75;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.75;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.9;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.9;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.9;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.1;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.1;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.1;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.5;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.5;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.5;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.75;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.75;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.75;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.9;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.9;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.9;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.1;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.1;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.1;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.25;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.25;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
canberra;0.25;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosine;0.5;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entropy;0.5;0.9;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0.041666667;0.125
canberra;0.5;0.9;0.1;0.9;0;0;0;0;0;0;0;0;0;0;0.016666667;0.15
cosine;0.75;0.9;0.15;0.8;0;0;0;0;0;0;0;0;0;0;0.025;0.133333333
entropy;0.75;0.9;0.15;0.85;0;0;0;0;0;0;0;0;0;0;0.025;0.141666667
canberra;0.75;0.9;0.15;0.85;0;0;0;0;0;0;0;0;0;0;0.025;0.141666667
cosine;0.9;0.9;0.2;0.8;0;0;0;0;0;0;0;0;0;0;0.033333333;0.133333333
entropy;0.9;0.9;0.2;0.8;0;0;0;0;0;0;0;0;0;0;0.033333333;0.133333333
canberra;0.9;0.9;0.05;0.95;0;0;0;0;0;0;0;0;0;0;0.008333333;0.158333333
