"Feature combination of this file:";"POS_S-w-2"
"Beginning of first training text (1John) is:";"t conj  -  conj v  -  v p  -  p v  -  v prep  -  prep t  -  t n  -  n p  -  p conj  -  conj t"
"Beginning of first test text (1Timothy) is:";"n n  -  n n  -  n n  -  n prep  -  prep n  -  n n  -  n t  -  t a  -  a t  -  t v"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.1;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.1;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.25;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.25;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.25;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.5;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.5;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.5;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.75;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.75;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.75;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.9;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.9;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.9;0.1;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.1;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.1;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.1;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.25;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.25;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.25;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.5;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.5;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.5;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.75;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.75;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.75;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.9;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.9;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.9;0.25;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.1;0.5;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.1;0.5;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"canberra";0.1;0.5;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"cosine";0.25;0.5;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
"entropy";0.25;0.5;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0.95
