"Feature combination of this file:";"POS_S-w-1"
"Beginning of first training text (1John) is:";"r  -  v  -  prep  -  n  -  r  -  v  -  r  -  v  -  t  -  n"
"Beginning of first test text (1Timothy) is:";"n  -  n  -  n  -  n  -  prep  -  n  -  n  -  n  -  p  -  conj"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7
"entropy";0.1;0.1;0.15;0.7;0.15;0.7;0.2;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.158333333333333;0.7
"canberra";0.1;0.1;0.15;0.7;0.15;0.7;0.2;0.7;0.15;0.7;0.2;0.7;0.15;0.7;0.166666666666667;0.7
"cosine";0.25;0.1;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7
"entropy";0.25;0.1;0.15;0.7;0.15;0.7;0.15;0.7;0.2;0.7;0.15;0.7;0.2;0.7;0.166666666666667;0.7
"canberra";0.25;0.1;0.2;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.25;0.7;0.2;0.7;0.208333333333333;0.7
"cosine";0.5;0.1;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.2;0.7;0.15;0.7;0.158333333333333;0.7
"entropy";0.5;0.1;0.2;0.7;0.15;0.7;0.2;0.7;0.25;0.7;0.2;0.7;0.2;0.7;0.2;0.7
"canberra";0.5;0.1;0.2;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.2;0.7;0.25;0.7;0.225;0.7
"cosine";0.75;0.1;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.233333333333333;0.7
"entropy";0.75;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"canberra";0.75;0.1;0.25;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.225;0.7
"cosine";0.9;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"entropy";0.9;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"canberra";0.9;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"cosine";0.1;0.25;0.15;0.7;0.15;0.7;0.2;0.65;0.1;0.7;0.15;0.7;0.2;0.7;0.158333333333333;0.691666666666667
"entropy";0.1;0.25;0.15;0.7;0.1;0.75;0.15;0.65;0.2;0.6;0.15;0.65;0.15;0.65;0.15;0.666666666666667
"canberra";0.1;0.25;0.1;0.7;0.2;0.6;0.25;0.6;0.15;0.7;0.1;0.7;0.15;0.7;0.158333333333333;0.666666666666667
"cosine";0.25;0.25;0.05;0.75;0.1;0.55;0.1;0.65;0.15;0.65;0.05;0.65;0.2;0.6;0.108333333333333;0.641666666666667
"entropy";0.25;0.25;0.2;0.65;0.15;0.75;0.05;0.75;0.15;0.65;0.1;0.65;0.1;0.7;0.125;0.691666666666667
"canberra";0.25;0.25;0.2;0.65;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.158333333333333;0.691666666666667
"cosine";0.5;0.25;0.15;0.7;0.2;0.65;0.15;0.7;0.15;0.7;0.15;0.7;0.15;0.65;0.158333333333333;0.683333333333333
"entropy";0.5;0.25;0.15;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.15;0.7;0.183333333333333;0.7
"canberra";0.5;0.25;0.2;0.7;0.15;0.7;0.15;0.7;0.15;0.7;0.2;0.7;0.25;0.7;0.183333333333333;0.7
"cosine";0.75;0.25;0.25;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.25;0.7;0.216666666666667;0.7
"entropy";0.75;0.25;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.241666666666667;0.7
"canberra";0.75;0.25;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.241666666666667;0.7
"cosine";0.9;0.25;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"entropy";0.9;0.25;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.241666666666667;0.7
"canberra";0.9;0.25;0.2;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.233333333333333;0.7
"cosine";0.1;0.5;0.1;0.6;0.15;0.55;0.15;0.6;0.15;0.55;0.15;0.55;0.15;0.6;0.141666666666667;0.575
"entropy";0.1;0.5;0.1;0.55;0.1;0.5;0.15;0.45;0.05;0.55;0.1;0.6;0.2;0.5;0.116666666666667;0.525
"canberra";0.1;0.5;0.15;0.55;0;0.8;0.1;0.55;0.15;0.45;0.15;0.6;0.15;0.55;0.116666666666667;0.583333333333333
"cosine";0.25;0.5;0.1;0.5;0.1;0.5;0.2;0.45;0.2;0.45;0.1;0.45;0.2;0.45;0.15;0.466666666666667
"entropy";0.25;0.5;0.3;0.45;0.1;0.55;0.15;0.5;0.1;0.5;0;0.85;0.15;0.5;0.133333333333333;0.558333333333333
"canberra";0.25;0.5;0.15;0.55;0.2;0.5;0.15;0.6;0.1;0.65;0.15;0.6;0;0.7;0.125;0.6
"cosine";0.5;0.5;0.2;0.55;0.25;0.5;0.25;0.5;0.15;0.45;0.2;0.5;0.3;0.5;0.225;0.5
"entropy";0.5;0.5;0.15;0.65;0.25;0.55;0.25;0.5;0.3;0.55;0.15;0.65;0.2;0.6;0.216666666666667;0.583333333333333
"canberra";0.5;0.5;0.35;0.55;0.25;0.65;0.25;0.65;0.2;0.7;0.15;0.7;0.15;0.65;0.225;0.65
"cosine";0.75;0.5;0.2;0.65;0.1;0.75;0.15;0.7;0.25;0.6;0.15;0.7;0.2;0.7;0.175;0.683333333333333
"entropy";0.75;0.5;0.2;0.65;0.25;0.65;0.25;0.65;0.2;0.75;0.25;0.65;0.3;0.65;0.241666666666667;0.666666666666667
"canberra";0.75;0.5;0.35;0.55;0.25;0.65;0.2;0.7;0.3;0.65;0.2;0.7;0.15;0.7;0.241666666666667;0.658333333333333
"cosine";0.9;0.5;0.35;0.6;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.75;0.4;0.55;0.283333333333333;0.666666666666667
"entropy";0.9;0.5;0.2;0.75;0.2;0.75;0.15;0.8;0.2;0.7;0.2;0.75;0.25;0.7;0.2;0.741666666666667
"canberra";0.9;0.5;0.3;0.65;0.15;0.8;0.15;0.8;0.25;0.7;0.3;0.6;0.35;0.55;0.25;0.683333333333333
"cosine";0.1;0.75;0.1;0.55;0.1;0.5;0.1;0.55;0.15;0.45;0.15;0.5;0.1;0.55;0.116666666666667;0.516666666666667
"entropy";0.1;0.75;0.15;0.45;0.15;0.5;0.1;0.4;0.2;0.45;0.15;0.45;0.2;0.45;0.158333333333333;0.45
"canberra";0.1;0.75;0.15;0.5;0.15;0.4;0.15;0.45;0.15;0.45;0.15;0.4;0.1;0.4;0.141666666666667;0.433333333333333
"cosine";0.25;0.75;0.15;0.45;0.15;0.4;0.1;0.4;0.1;0.4;0;1;0.15;0.35;0.108333333333333;0.5
"entropy";0.25;0.75;0.15;0.5;0.2;0.35;0.15;0.45;0.15;0.45;0.15;0.45;0.25;0.35;0.175;0.425
"canberra";0.25;0.75;0.2;0.5;0.1;0.55;0.2;0.45;0.1;0.6;0.1;0.55;0.1;0.5;0.133333333333333;0.525
"cosine";0.5;0.75;0.3;0.4;0.15;0.5;0.15;0.55;0.25;0.45;0.2;0.45;0.2;0.45;0.208333333333333;0.466666666666667
"entropy";0.5;0.75;0.25;0.5;0.15;0.6;0.3;0.45;0.25;0.45;0.25;0.45;0.25;0.5;0.241666666666667;0.491666666666667
"canberra";0.5;0.75;0.15;0.7;0.1;0.75;0.3;0.5;0.2;0.6;0.3;0.45;0.3;0.5;0.225;0.583333333333333
"cosine";0.75;0.75;0.1;0.65;0.1;0.7;0.4;0.4;0.15;0.65;0.1;0.7;0.3;0.6;0.191666666666667;0.616666666666667
"entropy";0.75;0.75;0.3;0.5;0.35;0.55;0.25;0.6;0.3;0.55;0.3;0.6;0.25;0.55;0.291666666666667;0.558333333333333
"canberra";0.75;0.75;0.25;0.65;0.35;0.55;0.35;0.55;0.3;0.6;0.3;0.6;0.3;0.5;0.308333333333333;0.575
"cosine";0.9;0.75;0.25;0.7;0.25;0.7;0.45;0.5;0.45;0.5;0.35;0.55;0.25;0.7;0.333333333333333;0.608333333333333
"entropy";0.9;0.75;0.15;0.8;0.1;0.8;0.15;0.8;0.2;0.75;0.1;0.75;0.2;0.75;0.15;0.775
"canberra";0.9;0.75;0.25;0.7;0.25;0.7;0.45;0.5;0.4;0.5;0.35;0.5;0.45;0.5;0.358333333333333;0.566666666666667
"cosine";0.1;0.9;0.2;0.4;0.15;0.5;0.1;0.5;0.1;0.5;0.1;0.45;0.25;0.4;0.15;0.458333333333333
"entropy";0.1;0.9;0.2;0.4;0.1;0.35;0.1;0.4;0.15;0.4;0.15;0.45;0.2;0.4;0.15;0.4
"canberra";0.1;0.9;0.15;0.45;0.2;0.35;0.05;0.5;0;1;0.1;0.45;0.25;0.35;0.125;0.516666666666667
"cosine";0.25;0.9;0.2;0.4;0.2;0.25;0.15;0.35;0.15;0.4;0.2;0.4;0.15;0.4;0.175;0.366666666666667
"entropy";0.25;0.9;0.25;0.35;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.15;0.4;0.25;0.325
"canberra";0.25;0.9;0.05;0.55;0.2;0.45;0.2;0.4;0.2;0.5;0.25;0.35;0.3;0.4;0.2;0.441666666666667
"cosine";0.5;0.9;0.05;0.5;0.2;0.35;0.25;0.4;0.1;0.4;0.15;0.4;0.25;0.35;0.166666666666667;0.4
"entropy";0.5;0.9;0.3;0.4;0.3;0.35;0.35;0.45;0.3;0.4;0.3;0.4;0.3;0.45;0.308333333333333;0.408333333333333
